date,delay,distance,origin,destination
01081730,7,137,ABI,DFW
01080700,-8,137,ABI,DFW
01081155,-11,137,ABI,DFW
01080810,-13,137,ABI,DFW
01081400,10,137,ABI,DFW
01090550,395,137,ABI,DFW
01090925,0,137,ABI,DFW
01091730,38,137,ABI,DFW
01090700,6,137,ABI,DFW
01091155,21,137,ABI,DFW
01090810,16,137,ABI,DFW
01091400,-6,137,ABI,DFW
01100550,-4,137,ABI,DFW
01100925,34,137,ABI,DFW
01101730,-2,137,ABI,DFW
01100700,129,137,ABI,DFW
01101155,-1,137,ABI,DFW
01100810,-11,137,ABI,DFW
01101400,30,137,ABI,DFW
01110905,-8,137,ABI,DFW
01111730,-14,137,ABI,DFW
01110700,-5,137,ABI,DFW
01111155,16,137,ABI,DFW
01110810,-6,137,ABI,DFW
01111400,39,137,ABI,DFW
01120550,-12,137,ABI,DFW
01120925,-5,137,ABI,DFW
01121730,-9,137,ABI,DFW
01120700,35,137,ABI,DFW
01121155,158,137,ABI,DFW
01120810,-9,137,ABI,DFW
01121400,-9,137,ABI,DFW
01130550,-5,137,ABI,DFW
01130925,-7,137,ABI,DFW
01131730,-9,137,ABI,DFW
01130700,-9,137,ABI,DFW
01131155,-10,137,ABI,DFW
01130810,-7,137,ABI,DFW
01131400,-1,137,ABI,DFW
01140550,0,137,ABI,DFW
01140925,4,137,ABI,DFW
01141730,-13,137,ABI,DFW
01140700,49,137,ABI,DFW
01141155,-10,137,ABI,DFW
01140810,-8,137,ABI,DFW
01141400,-17,137,ABI,DFW
01150550,-11,137,ABI,DFW
01150925,-6,137,ABI,DFW
01151730,-9,137,ABI,DFW
01150700,-8,137,ABI,DFW
01151155,-5,137,ABI,DFW
01150810,-12,137,ABI,DFW
01151400,-3,137,ABI,DFW
01160550,-2,137,ABI,DFW
01160925,-12,137,ABI,DFW
01161730,-3,137,ABI,DFW
01160700,-8,137,ABI,DFW
01161155,56,137,ABI,DFW
01160810,-10,137,ABI,DFW
01161400,8,137,ABI,DFW
01170550,-1,137,ABI,DFW
01170925,-6,137,ABI,DFW
01171730,-5,137,ABI,DFW
01170700,-12,137,ABI,DFW
01171155,18,137,ABI,DFW
01170810,-11,137,ABI,DFW
01171400,-7,137,ABI,DFW
01180905,-7,137,ABI,DFW
01181730,-9,137,ABI,DFW
01180700,-10,137,ABI,DFW
01181155,-11,137,ABI,DFW
01180810,-13,137,ABI,DFW
01181400,6,137,ABI,DFW
01190550,-12,137,ABI,DFW
01190925,-12,137,ABI,DFW
01191730,-12,137,ABI,DFW
01190700,-9,137,ABI,DFW
01191155,-11,137,ABI,DFW
01190810,-22,137,ABI,DFW
01191400,-12,137,ABI,DFW
01200550,-9,137,ABI,DFW
01200925,-8,137,ABI,DFW
01201730,-8,137,ABI,DFW
01200700,-8,137,ABI,DFW
01201155,-5,137,ABI,DFW
01200810,19,137,ABI,DFW
01201400,3,137,ABI,DFW
01210550,-7,137,ABI,DFW
01210925,29,137,ABI,DFW
01211730,-9,137,ABI,DFW
01210700,-2,137,ABI,DFW
01211155,0,137,ABI,DFW
01210810,-8,137,ABI,DFW
01211400,-11,137,ABI,DFW
01220550,-12,137,ABI,DFW
01220925,-8,137,ABI,DFW
01221730,-10,137,ABI,DFW
01220700,-8,137,ABI,DFW
01221155,-6,137,ABI,DFW
01220810,-8,137,ABI,DFW
01221400,-4,137,ABI,DFW
01230550,-10,137,ABI,DFW
01230925,15,137,ABI,DFW
01231730,-7,137,ABI,DFW
01230700,-8,137,ABI,DFW
01231155,-5,137,ABI,DFW
01230810,-3,137,ABI,DFW
01231400,37,137,ABI,DFW
01240550,-8,137,ABI,DFW
01240925,-7,137,ABI,DFW
01241730,61,137,ABI,DFW
01240700,-14,137,ABI,DFW
01241155,-6,137,ABI,DFW
01240810,-6,137,ABI,DFW
01241400,-7,137,ABI,DFW
01250905,-13,137,ABI,DFW
01251730,-14,137,ABI,DFW
01250700,-6,137,ABI,DFW
01251155,-5,137,ABI,DFW
01250810,-14,137,ABI,DFW
01251400,-26,137,ABI,DFW
01260550,-8,137,ABI,DFW
01260925,-8,137,ABI,DFW
01261730,-4,137,ABI,DFW
01260700,-9,137,ABI,DFW
01261155,-13,137,ABI,DFW
01260810,-9,137,ABI,DFW
01261400,-11,137,ABI,DFW
01270550,-7,137,ABI,DFW
01270925,-5,137,ABI,DFW
01271730,-3,137,ABI,DFW
01270700,-7,137,ABI,DFW
01271155,-6,137,ABI,DFW
01270810,-10,137,ABI,DFW
01271400,-9,137,ABI,DFW
01280550,0,137,ABI,DFW
01280925,-4,137,ABI,DFW
01281730,-10,137,ABI,DFW
01280700,-6,137,ABI,DFW
01281155,-4,137,ABI,DFW
01280810,-5,137,ABI,DFW
01281400,-6,137,ABI,DFW
01290550,-5,137,ABI,DFW
01290925,57,137,ABI,DFW
01291730,8,137,ABI,DFW
01290700,-6,137,ABI,DFW
01291155,3,137,ABI,DFW
01290810,-8,137,ABI,DFW
01291400,-13,137,ABI,DFW
01300550,-4,137,ABI,DFW
01300925,-6,137,ABI,DFW
01301730,-7,137,ABI,DFW
01300700,-7,137,ABI,DFW
01301155,-6,137,ABI,DFW
01300810,-11,137,ABI,DFW
01301400,-13,137,ABI,DFW
01310550,-2,137,ABI,DFW
01310925,27,137,ABI,DFW
01311730,-6,137,ABI,DFW
01310700,-7,137,ABI,DFW
01311155,2,137,ABI,DFW
01310810,29,137,ABI,DFW
01311400,-13,137,ABI,DFW
01011405,1,494,ABQ,DFW
01011520,0,494,ABQ,DFW
01010605,-5,494,ABQ,DFW
01010835,-7,494,ABQ,DFW
01010730,-1,494,ABQ,DFW
01011030,-2,494,ABQ,DFW
01011135,-2,494,ABQ,DFW
01021405,8,494,ABQ,DFW
01021520,1,494,ABQ,DFW
01020605,118,494,ABQ,DFW
01020835,59,494,ABQ,DFW
01020730,87,494,ABQ,DFW
01021030,85,494,ABQ,DFW
01021135,115,494,ABQ,DFW
01021655,87,494,ABQ,DFW
01031405,38,494,ABQ,DFW
01031520,36,494,ABQ,DFW
01030605,2,494,ABQ,DFW
01030835,33,494,ABQ,DFW
01030730,-4,494,ABQ,DFW
01031030,-1,494,ABQ,DFW
01031135,-7,494,ABQ,DFW
01031655,85,494,ABQ,DFW
01041405,0,494,ABQ,DFW
01041520,0,494,ABQ,DFW
01040605,1,494,ABQ,DFW
01040835,-7,494,ABQ,DFW
01040730,0,494,ABQ,DFW
01041030,10,494,ABQ,DFW
01041135,-4,494,ABQ,DFW
01051405,47,494,ABQ,DFW
01051520,59,494,ABQ,DFW
01050605,1,494,ABQ,DFW
01050835,-2,494,ABQ,DFW
01050730,-2,494,ABQ,DFW
01051030,30,494,ABQ,DFW
01051135,9,494,ABQ,DFW
01051655,9,494,ABQ,DFW
01061405,25,494,ABQ,DFW
01061520,36,494,ABQ,DFW
01060605,-4,494,ABQ,DFW
01060835,-2,494,ABQ,DFW
01060730,-7,494,ABQ,DFW
01061030,-3,494,ABQ,DFW
01061135,71,494,ABQ,DFW
01061655,0,494,ABQ,DFW
01071405,78,494,ABQ,DFW
01071520,4,494,ABQ,DFW
01070605,0,494,ABQ,DFW
01070835,173,494,ABQ,DFW
01070730,-4,494,ABQ,DFW
01071030,1,494,ABQ,DFW
01071135,0,494,ABQ,DFW
01081405,-6,494,ABQ,DFW
01081520,17,494,ABQ,DFW
01080605,-7,494,ABQ,DFW
01080835,-6,494,ABQ,DFW
01080730,-5,494,ABQ,DFW
01081030,-6,494,ABQ,DFW
01081135,-1,494,ABQ,DFW
01091405,18,494,ABQ,DFW
01091520,-3,494,ABQ,DFW
01090605,-8,494,ABQ,DFW
01090835,-12,494,ABQ,DFW
01090730,-8,494,ABQ,DFW
01091030,9,494,ABQ,DFW
01091135,0,494,ABQ,DFW
01101405,-6,494,ABQ,DFW
01101520,-8,494,ABQ,DFW
01100605,-10,494,ABQ,DFW
01100835,-15,494,ABQ,DFW
01100730,-6,494,ABQ,DFW
01101030,-4,494,ABQ,DFW
01101135,-14,494,ABQ,DFW
01111405,43,494,ABQ,DFW
01111520,-8,494,ABQ,DFW
01110605,-6,494,ABQ,DFW
01110835,-9,494,ABQ,DFW
01110730,-8,494,ABQ,DFW
01111030,-7,494,ABQ,DFW
01111135,3,494,ABQ,DFW
01121405,-9,494,ABQ,DFW
01121520,-7,494,ABQ,DFW
01120835,-11,494,ABQ,DFW
01120730,-4,494,ABQ,DFW
01121030,-1,494,ABQ,DFW
01121135,-9,494,ABQ,DFW
01131405,2,494,ABQ,DFW
01131520,-12,494,ABQ,DFW
01130605,-8,494,ABQ,DFW
01130835,-12,494,ABQ,DFW
01130730,-3,494,ABQ,DFW
01131030,-10,494,ABQ,DFW
01131135,-7,494,ABQ,DFW
01141405,-6,494,ABQ,DFW
01141520,-4,494,ABQ,DFW
01140605,-5,494,ABQ,DFW
01140835,-7,494,ABQ,DFW
01140730,-9,494,ABQ,DFW
01141030,-7,494,ABQ,DFW
01141135,-6,494,ABQ,DFW
01151405,-3,494,ABQ,DFW
01151520,-4,494,ABQ,DFW
01150605,-4,494,ABQ,DFW
01150835,-10,494,ABQ,DFW
01150730,4,494,ABQ,DFW
01151030,-8,494,ABQ,DFW
01151135,-8,494,ABQ,DFW
01161405,43,494,ABQ,DFW
01161520,58,494,ABQ,DFW
01160605,-3,494,ABQ,DFW
01160835,-8,494,ABQ,DFW
01160730,-6,494,ABQ,DFW
01161030,-6,494,ABQ,DFW
01161135,-4,494,ABQ,DFW
01171405,-5,494,ABQ,DFW
01171520,-1,494,ABQ,DFW
01170605,-6,494,ABQ,DFW
01170835,0,494,ABQ,DFW
01170730,8,494,ABQ,DFW
01171030,-6,494,ABQ,DFW
01171135,-1,494,ABQ,DFW
01181405,0,494,ABQ,DFW
01181520,38,494,ABQ,DFW
01180605,-12,494,ABQ,DFW
01180835,-9,494,ABQ,DFW
01180730,-4,494,ABQ,DFW
01181030,-9,494,ABQ,DFW
01181135,-4,494,ABQ,DFW
01191405,-2,494,ABQ,DFW
01191520,-4,494,ABQ,DFW
01190835,-8,494,ABQ,DFW
01190730,-9,494,ABQ,DFW
01191030,-15,494,ABQ,DFW
01191135,-8,494,ABQ,DFW
01201405,-4,494,ABQ,DFW
01201520,-10,494,ABQ,DFW
01200605,-3,494,ABQ,DFW
01200835,-6,494,ABQ,DFW
01200730,-3,494,ABQ,DFW
01201030,-10,494,ABQ,DFW
01201135,-8,494,ABQ,DFW
01211405,-8,494,ABQ,DFW
01211520,2,494,ABQ,DFW
01210605,-12,494,ABQ,DFW
01210835,-9,494,ABQ,DFW
01210730,-12,494,ABQ,DFW
01211030,-5,494,ABQ,DFW
01211135,-11,494,ABQ,DFW
01221405,-9,494,ABQ,DFW
01221520,-6,494,ABQ,DFW
01220605,-10,494,ABQ,DFW
01220835,-7,494,ABQ,DFW
01220730,-4,494,ABQ,DFW
01221030,87,494,ABQ,DFW
01221135,-4,494,ABQ,DFW
01231405,76,494,ABQ,DFW
01231520,33,494,ABQ,DFW
01230605,-5,494,ABQ,DFW
01230835,-5,494,ABQ,DFW
01230730,-6,494,ABQ,DFW
01231030,62,494,ABQ,DFW
01231135,-1,494,ABQ,DFW
01241405,79,494,ABQ,DFW
01241520,6,494,ABQ,DFW
01240605,68,494,ABQ,DFW
01240835,3,494,ABQ,DFW
01240730,97,494,ABQ,DFW
01241030,-2,494,ABQ,DFW
01241135,0,494,ABQ,DFW
01251405,-7,494,ABQ,DFW
01251520,11,494,ABQ,DFW
01250605,-10,494,ABQ,DFW
01250835,-13,494,ABQ,DFW
01250730,-2,494,ABQ,DFW
01251030,-4,494,ABQ,DFW
01251135,-9,494,ABQ,DFW
01261405,-5,494,ABQ,DFW
01261520,11,494,ABQ,DFW
01260835,-5,494,ABQ,DFW
01260730,-2,494,ABQ,DFW
01261030,-6,494,ABQ,DFW
01261135,1,494,ABQ,DFW
01271405,-11,494,ABQ,DFW
01271520,-2,494,ABQ,DFW
01270605,0,494,ABQ,DFW
01270835,-13,494,ABQ,DFW
01270730,-12,494,ABQ,DFW
01271030,-6,494,ABQ,DFW
01271135,2,494,ABQ,DFW
01281405,0,494,ABQ,DFW
01281520,-8,494,ABQ,DFW
01280605,-12,494,ABQ,DFW
01280835,-4,494,ABQ,DFW
01280730,-10,494,ABQ,DFW
01281030,-6,494,ABQ,DFW
01281135,-7,494,ABQ,DFW
01291405,8,494,ABQ,DFW
01291520,-4,494,ABQ,DFW
01290605,-6,494,ABQ,DFW
01290835,1,494,ABQ,DFW
01290730,-6,494,ABQ,DFW
01291030,-4,494,ABQ,DFW
01291135,19,494,ABQ,DFW
01301405,-4,494,ABQ,DFW
01301520,-3,494,ABQ,DFW
01300605,-7,494,ABQ,DFW
01300835,-3,494,ABQ,DFW
01300730,-3,494,ABQ,DFW
01301030,0,494,ABQ,DFW
01301135,-1,494,ABQ,DFW
01311405,3,494,ABQ,DFW
01311520,4,494,ABQ,DFW
01310605,-6,494,ABQ,DFW
01310835,-9,494,ABQ,DFW
01310730,-5,494,ABQ,DFW
01311030,1,494,ABQ,DFW
01311135,-8,494,ABQ,DFW
01012355,0,1586,ABQ,JFK
01022355,158,1586,ABQ,JFK
01032355,0,1586,ABQ,JFK
01042355,0,1586,ABQ,JFK
01052355,0,1586,ABQ,JFK
01062355,0,1586,ABQ,JFK
01072359,14,1586,ABQ,JFK
01082358,-4,1586,ABQ,JFK
01092358,20,1586,ABQ,JFK
01102358,-2,1586,ABQ,JFK
01112358,116,1586,ABQ,JFK
01122358,0,1586,ABQ,JFK
01132358,-10,1586,ABQ,JFK
01142359,-17,1586,ABQ,JFK
01152358,135,1586,ABQ,JFK
01162358,-13,1586,ABQ,JFK
01172358,-10,1586,ABQ,JFK
01182358,-17,1586,ABQ,JFK
01192358,-18,1586,ABQ,JFK
01202358,-9,1586,ABQ,JFK
01212359,0,1586,ABQ,JFK
01222358,0,1586,ABQ,JFK
01232358,44,1586,ABQ,JFK
01242358,-6,1586,ABQ,JFK
01252358,-12,1586,ABQ,JFK
01262358,-22,1586,ABQ,JFK
01272358,9,1586,ABQ,JFK
01282359,-20,1586,ABQ,JFK
01292358,17,1586,ABQ,JFK
01302358,7,1586,ABQ,JFK
01312358,-12,1586,ABQ,JFK
01011316,-8,1103,ABQ,ATL
01010730,-4,1103,ABQ,ATL
01011440,-4,852,ABQ,MSP
01010700,-4,852,ABQ,MSP
01020730,-2,1103,ABQ,ATL
01020615,-4,1103,ABQ,ATL
01021326,6,1103,ABQ,ATL
01021440,-4,852,ABQ,MSP
01020700,-4,852,ABQ,MSP
01030730,-2,1103,ABQ,ATL
01030615,0,1103,ABQ,ATL
01031326,6,1103,ABQ,ATL
01031440,6,852,ABQ,MSP
01030700,58,852,ABQ,MSP
01040730,-1,1103,ABQ,ATL
01040615,0,1103,ABQ,ATL
01041326,31,1103,ABQ,ATL
01041440,-3,852,ABQ,MSP
01040700,1,852,ABQ,MSP
01051326,26,1103,ABQ,ATL
01050730,-2,1103,ABQ,ATL
01050615,-2,1103,ABQ,ATL
01051440,40,852,ABQ,MSP
01050700,0,852,ABQ,MSP
01060600,-1,852,ABQ,MSP
01061230,-3,428,ABQ,SLC
01061328,36,1103,ABQ,ATL
01060730,44,1103,ABQ,ATL
01060615,22,1103,ABQ,ATL
01071328,-2,1103,ABQ,ATL
01070615,-2,1103,ABQ,ATL
01081328,16,1103,ABQ,ATL
01080615,-2,1103,ABQ,ATL
01091328,73,1103,ABQ,ATL
01090615,-6,1103,ABQ,ATL
01101328,17,1103,ABQ,ATL
01100615,0,1103,ABQ,ATL
01111328,15,1103,ABQ,ATL
01110615,-1,1103,ABQ,ATL
01121328,-7,1103,ABQ,ATL
01120615,-6,1103,ABQ,ATL
01131328,-3,1103,ABQ,ATL
01130615,-5,1103,ABQ,ATL
01141328,0,1103,ABQ,ATL
01140615,-3,1103,ABQ,ATL
01151328,385,1103,ABQ,ATL
01150615,-4,1103,ABQ,ATL
01161328,11,1103,ABQ,ATL
01160615,-4,1103,ABQ,ATL
01171328,-4,1103,ABQ,ATL
01170615,489,1103,ABQ,ATL
01181328,-7,1103,ABQ,ATL
01180615,-6,1103,ABQ,ATL
01191328,-4,1103,ABQ,ATL
01190615,-4,1103,ABQ,ATL
01201328,9,1103,ABQ,ATL
01200615,0,1103,ABQ,ATL
01211328,-3,1103,ABQ,ATL
01210615,-3,1103,ABQ,ATL
01221328,-5,1103,ABQ,ATL
01220615,-3,1103,ABQ,ATL
01231328,30,1103,ABQ,ATL
01230615,-4,1103,ABQ,ATL
01241328,-2,1103,ABQ,ATL
01240615,1,1103,ABQ,ATL
01251328,-6,1103,ABQ,ATL
01250615,-4,1103,ABQ,ATL
01261328,-1,1103,ABQ,ATL
01260615,-5,1103,ABQ,ATL
01271328,-2,1103,ABQ,ATL
01270615,-6,1103,ABQ,ATL
01281328,0,1103,ABQ,ATL
01280615,0,1103,ABQ,ATL
01291328,141,1103,ABQ,ATL
01290615,-2,1103,ABQ,ATL
01301328,296,1103,ABQ,ATL
01300615,0,1103,ABQ,ATL
01311328,0,1103,ABQ,ATL
01310615,-5,1103,ABQ,ATL
01011712,57,646,ABQ,IAH
01011420,-6,646,ABQ,IAH
01011042,-10,646,ABQ,IAH
01010805,23,646,ABQ,IAH
01011933,0,303,ABQ,DEN
01021726,-6,646,ABQ,IAH
01021411,-6,646,ABQ,IAH
01021050,37,646,ABQ,IAH
01020610,0,646,ABQ,IAH
01020536,0,303,ABQ,DEN
01031712,8,646,ABQ,IAH
01031411,0,646,ABQ,IAH
01031050,0,646,ABQ,IAH
01030610,-1,646,ABQ,IAH
01030536,-7,303,ABQ,DEN
01041712,138,646,ABQ,IAH
01041050,-6,646,ABQ,IAH
01040805,-7,646,ABQ,IAH
01040530,15,303,ABQ,DEN
01050805,-7,646,ABQ,IAH
01061712,26,646,ABQ,IAH
01061411,0,646,ABQ,IAH
01061050,194,646,ABQ,IAH
01060610,-5,646,ABQ,IAH
01060536,0,303,ABQ,DEN
01071053,10,646,ABQ,IAH
01071713,8,646,ABQ,IAH
01070903,0,646,ABQ,IAH
01081713,9,646,ABQ,IAH
01080903,-7,646,ABQ,IAH
01081101,80,646,ABQ,IAH
01080736,-2,303,ABQ,DEN
01091713,51,646,ABQ,IAH
01090903,-7,646,ABQ,IAH
01101713,-6,646,ABQ,IAH
01100903,-7,646,ABQ,IAH
01110903,-12,646,ABQ,IAH
01120903,-7,646,ABQ,IAH
01121713,-4,646,ABQ,IAH
01120720,-1,303,ABQ,DEN
01121722,-12,303,ABQ,DEN
01121007,-10,303,ABQ,DEN
01131713,-4,646,ABQ,IAH
01130903,-6,646,ABQ,IAH
01141101,-9,646,ABQ,IAH
01141713,-10,646,ABQ,IAH
01140903,-10,646,ABQ,IAH
01151713,58,646,ABQ,IAH
01150903,-8,646,ABQ,IAH
01151101,-14,646,ABQ,IAH
01150736,-8,303,ABQ,DEN
01161713,7,646,ABQ,IAH
01160903,-5,646,ABQ,IAH
01171713,-8,646,ABQ,IAH
01170903,23,646,ABQ,IAH
01180903,-10,646,ABQ,IAH
01190903,-7,646,ABQ,IAH
01191713,-2,646,ABQ,IAH
01190720,-5,303,ABQ,DEN
01191722,-14,303,ABQ,DEN
01191007,-9,303,ABQ,DEN
01201713,-2,646,ABQ,IAH
01200903,-3,646,ABQ,IAH
01211101,7,646,ABQ,IAH
01211713,-6,646,ABQ,IAH
01210903,-11,646,ABQ,IAH
01221713,12,646,ABQ,IAH
01220903,-5,646,ABQ,IAH
01221101,-6,646,ABQ,IAH
01220736,-7,303,ABQ,DEN
01231713,0,646,ABQ,IAH
01230903,-6,646,ABQ,IAH
01241713,-8,646,ABQ,IAH
01240903,0,646,ABQ,IAH
01250903,-4,646,ABQ,IAH
01260903,7,646,ABQ,IAH
01261713,1,646,ABQ,IAH
01260720,1,303,ABQ,DEN
01261722,-11,303,ABQ,DEN
01261007,-13,303,ABQ,DEN
01271713,-7,646,ABQ,IAH
01270903,-7,646,ABQ,IAH
01281101,0,646,ABQ,IAH
01281713,0,646,ABQ,IAH
01280903,0,646,ABQ,IAH
01291713,102,646,ABQ,IAH
01290903,146,646,ABQ,IAH
01291101,127,646,ABQ,IAH
01290736,9,303,ABQ,DEN
01301713,-3,646,ABQ,IAH
01300903,-8,646,ABQ,IAH
01311713,1,646,ABQ,IAH
01310903,12,646,ABQ,IAH
01011450,7,303,ABQ,DEN
01021450,32,303,ABQ,DEN
01020800,-8,303,ABQ,DEN
01031450,2,303,ABQ,DEN
01030800,-3,303,ABQ,DEN
01040800,94,303,ABQ,DEN
01050800,-4,303,ABQ,DEN
01060800,140,303,ABQ,DEN
01011950,128,589,ABQ,LAX
